"lessonTitle","lessonId","userId","factText","factAnswer","fileName","fileType","fileId","factId","presentationStartTime","presentationDuration","reactionTime","sessionTime","correct","givenResponse","backSpaceUsed","backSpacedFirstLetter","numberOfChoices","lookAheadTime","forgetThreshold","maxAlpha","minAlpha","keyCode","keyCharacter","keyTime","sessionId","aggregateResponse"
"English-Swahili A",1266,60539,"pearl","lulu",,,,57495,1625508021040,1871,1871,18800,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"pearl","lulu",,,,57495,1625508022912,2880,1439,21681,TRUE,"lulu",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"76;85;76;85","L;U;L;U","1625508024351;1625508024727;1625508024935;1625508025199","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"doctor","tabibu",,,,57508,1625508023045,2944,1820,519458,TRUE,"tabibu",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"84;65;66;73;66;85","T;A;B;I;B;U","1625508024865;1625508025139;1625508025218;1625508025384;1625508025515;1625508025637","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"cloud","wingu",,,,57496,1625508026794,647,647,23330,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"cloud","wingu",,,,57496,1625508027001,2105,1516,522575,TRUE,"wingu",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"87;73;78;71;85","W;I;N;G;U","1625508028517;1625508028602;1625508028740;1625508028894;1625508028941","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"economy","iktisadi",,,,57497,1625508027441,3231,3231,26561,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"cloud","wingu",,,,57496,1625508030674,6262,1101,32825,FALSE,"iktisadi",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"73;75;84;73;83;65;68;73;16","I;K;T;I;S;A;D;I;","1625508031775;1625508031991;1625508032143;1625508032239;1625508032519;1625508032655;1625508032799;1625508032895;1625508036344","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"economy","iktisadi",,,,57497,1625508042273,4975,1903,43137,TRUE,"iktisadi",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"73;75;84;73;83;65;68;73","I;K;T;I;S;A;D;I","1625508044176;1625508044376;1625508044528;1625508044624;1625508044880;1625508044960;1625508045744;1625508045832","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"corn","nafaka",,,,60272,1625508030118,22737,,546324,FALSE,"",TRUE,TRUE,0,15000,-0.8,0.5,0.15,"75;8;8","K;;","1625508037679;1625508040721;1625508040895","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"dog","mbwa",,,,57494,1625508056152,2559,1369,552180,TRUE,"mbwa",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"77;66;87;65","M;B;W;A","1625508057521;1625508057757;1625508058122;1625508058356","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"dog","mbwa",,,,57494,1625508048251,13630,4045,57770,FALSE,"mwaba",TRUE,FALSE,0,15000,-0.8,0.5,0.15,"77;66;87;65;66;65;40;40;40;37;37;37;37;37;39;8","M;B;W;A;B;A;(;(;(;%;%;%;%;%;';","1625508052296;1625508053920;1625508054456;1625508054657;1625508056321;1625508056609;1625508057744;1625508057921;1625508058080;1625508058616;1625508058785;1625508058945;1625508059112;1625508059265;1625508059705;1625508060161","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"corn","nafaka",,,,60272,1625508059722,2558,1240,555749,FALSE,"mafaka",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"77;65;70;65;75;65","M;A;F;A;K;A","1625508060962;1625508061114;1625508061308;1625508061531;1625508061639;1625508061719","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"pearl","lulu",,,,57495,1625508066771,2798,1470,65458,TRUE,"lulu",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"76;85;76;85","L;U;L;U","1625508068241;1625508068632;1625508068896;1625508069145","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"blame","lawama",,,,60271,1625508064916,7125,5466,565510,TRUE,"lawama",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"76;65;87;65;77;65","L;A;W;A;M;A","1625508070382;1625508070780;1625508070920;1625508071100;1625508071189;1625508071268","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"cloud","wingu",,,,57496,1625508070582,3419,1819,69890,TRUE,"wingu",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"87;73;78;71;85","W;I;N;G;U","1625508072401;1625508072545;1625508072738;1625508073113;1625508073433","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"corn","nafaka",,,,60272,1625508073051,1905,827,568425,FALSE,"nakafa",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"78;65;75;65;70;65","N;A;K;A;F;A","1625508073878;1625508073982;1625508074126;1625508074264;1625508074489;1625508074840","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"knee","goti",,,,57498,1625508075003,2743,2743,73635,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"forgery","ubini",,,,60267,1625508076744,2303,130,572516,TRUE,"ubini",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"13;85;66;73;78;73","
;U;B;I;N;I","1625508076874;1625508078337;1625508078471;1625508078612;1625508078736;1625508078799","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"bull","fahali",,,,60264,1625508077747,1655,1655,75291,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"corn","nafaka",,,,60272,1625508080059,2005,951,575533,TRUE,"nafaka",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"78;65;70;65;75;65","N;A;F;A;K;A","1625508081010;1625508081102;1625508081326;1625508081541;1625508081648;1625508081732","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"knee","goti",,,,57498,1625508079403,2935,1518,78227,TRUE,"goti",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"71;79;84;73","G;O;T;I","1625508080921;1625508081385;1625508081642;1625508081721","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"bull","fahali",,,,60264,1625508083340,3566,2030,82795,TRUE,"fahali",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"70;65;72;65;76;73","F;A;H;A;L;I","1625508085370;1625508085866;1625508086009;1625508086137;1625508086417;1625508086617","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"dog","mbwa",,,,57494,1625508087910,5004,2931,88803,TRUE,"mbwa",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"77;66;87;65","M;B;W;A","1625508090841;1625508092234;1625508092426;1625508092594","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"rope","kamba",,,,60270,1625508083076,10150,,586695,FALSE,"kombe",TRUE,TRUE,0,15000,-0.8,0.5,0.15,"75;79;77;8;8;8;75;79;77;66;65;8;69","K;O;M;;;;K;O;M;B;A;;E","1625508085226;1625508085549;1625508085772;1625508088608;1625508088862;1625508089692;1625508090561;1625508090746;1625508090921;1625508091681;1625508092363;1625508092870;1625508092982","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"economy","iktisadi",,,,57497,1625508093918,2820,1332,92627,TRUE,"iktisadi",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"73;75;84;73;83;65;68;73","I;K;T;I;S;A;D;I","1625508095250;1625508095482;1625508095586;1625508095730;1625508095922;1625508096010;1625508096186;1625508096274","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"corn","nafaka",,,,60272,1625508095742,2237,1182,591448,FALSE,"nakafa",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"78;65;75;65;70;65","N;A;K;A;F;A","1625508096924;1625508097072;1625508097179;1625508097299;1625508097490;1625508097769","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"tailor","mshoni",,,,60265,1625508097744,3299,3299,96932,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"leech","ruba",,,,57501,1625508101044,1487,1487,98420,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"doctor","tabibu",,,,57508,1625508100212,2798,1711,596479,TRUE,"tabibu",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"84;65;66;73;66;85","T;A;B;I;B;U","1625508101923;1625508102152;1625508102233;1625508102395;1625508102523;1625508102637","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"tailor","mshoni",,,,60265,1625508102532,3055,1270,101476,TRUE,"mshoni",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"77;83;72;79;78;73","M;S;H;O;N;I","1625508103802;1625508103978;1625508104426;1625508104554;1625508104818;1625508104962","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60538,"corn","nafaka",,,,60272,1625508104023,2136,1303,599628,TRUE,"nafaka",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"78;65;70;65;75;65","N;A;F;A;K;A","1625508105326;1625508105437;1625508105632;1625508105840;1625508105943;1625508106018","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"rope","kamba",,,,60270,1625508107172,2656,1894,603297,TRUE,"kamba",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"75;65;77;66;65","K;A;M;B;A","1625508109066;1625508109189;1625508109265;1625508109446;1625508109526","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60539,"leech","ruba",,,,57501,1625508106596,2911,1518,105396,TRUE,"ruba",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"82;85;66;65","R;U;B;A","1625508108114;1625508108866;1625508109067;1625508109259","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"flavor","ladha",,,,60266,1625508110524,2552,2552,108965,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"forgery","ubini",,,,60267,1625508113078,1286,1286,110253,TRUE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"flavor","ladha",,,,60266,1625508114365,2543,1462,112797,TRUE,"ladha",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"76;65;68;72;65","L;A;D;H;A","1625508115827;1625508116035;1625508116355;1625508116531;1625508116667","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"forgery","ubini",,,,60267,1625508117913,2730,1098,116532,TRUE,"ubini",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"85;66;73;78;73","U;B;I;N;I","1625508119011;1625508119459;1625508119691;1625508120011;1625508120155","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
"English-Swahili A",1266,60539,"dog","mbwa",,,,57494,1625508121657,2795,1970,120341,TRUE,"mbwa",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"77;66;87;65","M;B;W;A","1625508123627;1625508124059;1625508124236;1625508124339","0b9a5c68-f747-435e-b65f-dc6c6bcc15b4",FALSE
